sub,run,acq_onset,stim_onset,lag
sub-11,tgbu_movie05,2584175,2586320,2145
sub-11,tgbu_movie06,3261729,3263860,2131
sub-11,tgbu_movie07,3937514,3939675,2161
sub-11,tgbu_movie08,73935,74530,595
sub-11,tgbu_movie09,745406,745878,472
sub-11,tgbu_movie10,1416165,1416609,444
sub-11,tgbu_movie11,2090602,2091049,447
sub-11,tgbu_movie12,2771816,2772278,462
sub-11,tgbu_movie13,3442378,3442835,457
sub-11,tgbu_movie14,4114121,4114633,512
sub-11,tgbu_movie15,71514,72036,522
sub-11,tgbu_movie16,744898,745376,478
sub-11,tgbu_movie17,1418695,1419187,492
sub-11,tgbu_movie18,2090569,2091021,452
sub-11,tgbu_movie01_test,2434669,2435116,447
sub-11,tgbu_movie02_test,3025280,3025755,475
sub-11,tgbu_movie03_test,3576200,3576698,498
sub-12,tgbu_movie01,72365,74772,2407
sub-12,tgbu_movie02,677613,680008,2395
sub-12,tgbu_movie03,1245739,1248151,2412
sub-12,tgbu_movie04,1928279,1930681,2402
sub-12,tgbu_movie05,2605256,2607652,2396
sub-12,tgbu_movie06,3278403,3280782,2379
sub-12,tgbu_movie07,3964456,3966852,2396
sub-12,tgbu_movie08,78706,81168,2462
sub-12,tgbu_movie09,755176,757462,2286
sub-12,tgbu_movie10,1437394,1439675,2281
sub-12,tgbu_movie11,2114489,2116753,2264
sub-12,tgbu_movie12,2787381,2789659,2278
sub-12,tgbu_movie13,3462439,3464694,2255
sub-12,tgbu_movie14,4139481,4141804,2323
sub-12,tgbu_movie15,107533,110050,2517
sub-12,tgbu_movie16,795935,798332,2397
sub-12,tgbu_movie17,1493393,1495774,2381
sub-12,tgbu_movie18,2168390,2170749,2359
sub-12,tgbu_movie01_test,2535585,2537958,2373
sub-12,tgbu_movie02_test,3140595,3142929,2334
sub-12,tgbu_movie03_test,3693735,3696108,2373
sub-13,tgbu_movie01,73846,76203,2357
sub-13,tgbu_movie02,703541,705982,2441
sub-13,tgbu_movie03,1340311,1342694,2383
sub-13,tgbu_movie04,2022025,2024388,2363
sub-13,tgbu_movie05,2692376,2694762,2386
sub-13,tgbu_movie06,3366551,3368928,2377
sub-13,tgbu_movie07,4044564,4046962,2398
sub-13,tgbu_movie08,79275,81843,2568
sub-13,tgbu_movie09,754341,756701,2360
sub-13,tgbu_movie10,1436016,1438326,2310
sub-13,tgbu_movie11,2117195,2119524,2329
sub-13,tgbu_movie12,2797285,2799653,2368
sub-13,tgbu_movie13,3473713,3476057,2344
sub-13,tgbu_movie14,4152631,4155037,2406
sub-13,tgbu_movie15,117149,119682,2533
sub-13,tgbu_movie16,829068,831415,2347
sub-13,tgbu_movie17,1538228,1540593,2365
sub-13,tgbu_movie18,2252437,2254818,2381
sub-13,tgbu_movie01_test,2620500,2622839,2339
sub-13,tgbu_movie02_test,3222404,3224757,2353
sub-13,tgbu_movie03_test,3826513,3828864,2351
sub-14,tgbu_movie01,205625,207849,2224
sub-14,tgbu_movie02,816558,818655,2097
sub-14,tgbu_movie03,1384991,1387064,2073
sub-14,tgbu_movie04,2064171,2066254,2083
sub-14,tgbu_movie05,2737643,2739738,2095
sub-14,tgbu_movie06,3426283,3428371,2088
sub-14,tgbu_movie07,4099821,4101939,2118
sub-14,tgbu_movie08,77329,79497,2168
sub-14,tgbu_movie09,761980,764132,2152
