RunID,Sub-01,Sub-04,Sub-06,Sub-07,Sub-08,Sub-09,Sub-11,Sub-12,Sub-13,Sub-14,Sub-15
1a,92.1875,95.3125,87.5,78.125,82.8125,87.5,84.375,84.375,59.375,75,81.25
2a,93.75,89.0625,89.0625,90.625,92.1875,89.0625,82.8125,81.25,82.8125,64.0625,81.25
3a,92.1875,90.625,90.625,85.9375,92.1875,92.1875,89.0625,87.5,62.5,53.125,90.625
4a,87.5,93.75,92.1875,89.0625,90.625,85.9375,87.5,87.5,76.5625,50,92.1875
1b,92.1875,96.875,87.5,89.0625,89.0625,90.625,87.5,92.1875,73.4375,62.5,89.0625
2b,93.75,87.5,84.375,90.625,90.625,90.625,85.9375,79.6875,85.9375,70.3125,90.625
3b,90.625,95.3125,92.1875,89.0625,92.1875,93.75,75,82.8125,84.375,81.25,87.5
Mean,91.741,92.633,89.062,87.5,89.955,89.955,84.598,85.044,75,65.178,87.5
