RunID,Sub-04,Sub-05,Sub-06,Sub-08,Sub-09,Sub-11,Sub-12,Sub-14,Sub-15
1,100,98.823,100,100,100,100,100,92.941,100
2,100,98.823,100,100,98.823,100,100,91.764,100
Mean,100,98.823,100,100,99.411,100,100,92.352,100
