RunID,Sub-04,Sub-05,Sub-06,Sub-08,Sub-09,Sub-11,Sub-12,Sub-14,Sub-15
1,100,96.875,100,100,100,100,100,76.562,100
2,100,96.875,100,100,100,90.625,100,60.937,93.75
3,100,89.062,100,100,100,71.875,100,65.079,100
4,100,87.5,96.875,96.875,100,96.875,100,84.375,100
Mean,100,92.578,99.218,99.218,100,89.843,100,71.738,98.437
