colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,SCENE1
FUNCT_AP,SCENE2
FUNCT_PA,SCENE3
FUNCT_AP,SCENE4
FUNCT_PA,FB1
FUNCT_AP,FB2
FUNCT_PA,FB3
FUNCT_AP,FB4
SE2D_PA,SE2D
SE2D_AP,SE2D
