colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,MK1
FUNCT_PA,MK2
FUNCT_AP,MK3
FUNCT_AP,MK4
FUNCT_AP,MK5
SE2D_PA,SE2D
SE2D_AP,SE2D
