colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,MSSS
FUNCT_PA,STROOP
FUNCT_PA,DISCOUNT
FUNCT_PA,MSSS
FUNCT_AP,STROOP
FUNCT_AP,DISCOUNT
SE2D_PA,SE2D
SE2D_AP,SE2D
