colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,SPNAV1
FUNCT_PA,SPNAV2
FUNCT_PA,SPNAV2
FUNCT_PA,SPNAV2
FUNCT_AP,SPNAV2
FUNCT_AP,SPNAV2
FUNCT_AP,SPNAV2
FUNCT_AP,SPNAV2
SE2D_PA,SE2D
SE2D_AP,SE2D
