colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,VSWM1
FUNCT_AP,VSWM2
FUNCT_PA,VSWM3
FUNCT_AP,VSWM4
SE2D_PA,SE2D
SE2D_AP,SE2D
