colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,REWPROC1
FUNCT_AP,REWPROC2
FUNCT_PA,NARPS1
FUNCT_AP,NARPS2
FUNCT_PA,NARPS3
FUNCT_AP,NARPS4
SE2D_PA,SE2D
SE2D_AP,SE2D
