colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,BBT3
FUNCT_PA,BBT3
FUNCT_AP,BBT3
FUNCT_AP,BBT4
FUNCT_AP,BBT1
FUNCT_AP,BBT5
FUNCT_AP,BBT3
SE2D_PA,SE2D
SE2D_AP,SE2D
