colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,MTHLANG1
FUNCT_AP,MTHLANG2
FUNCT_PA,MTHLANG3
FUNCT_AP,MTHLANG4
FUNCT_PA,MTHLANG5
FUNCT_AP,MTHLANG6
FUNCT_PA,MTHLANG6
SE2D_PA,SE2D
SE2D_AP,SE2D
