colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_AP,LPP6
FUNCT_PA,LPP7
FUNCT_AP,LPP8
FUNCT_PA,LPP9
FUNCT_AP,LPPLOC
SE2D_PA,SE2D
SE2D_AP,SE2D
