colormap,widthmap
T1,T1
T2_SPC,T2_SPC
T2_FLAIR,T2_FLAIR
DIF,DIF
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,LOCSTAND
FUNCT_PA,LOCSPAT
FUNCT_AP,LOCSTAND
FUNCT_AP,LOCSPAT
SE2D_PA,SE2D
SE2D_AP,SE2D
