colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,AOMICFACE1
FUNCT_AP,AOMICFACE2
FUNCT_PA,AOMICGSTROOP1
FUNCT_AP,AOMICGSTROOP2
FUNCT_PA,AOMICEMOMATCH1
FUNCT_AP,AOMICEMOMATCH2
FUNCT_PA,AOMICWM1
FUNCT_AP,AOMICWM2
SE2D_PA,SE2D
SE2D_AP,SE2D
