colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,RAIDERS_RUN01
FUNCT_PA,RAIDERS_RUN02
FUNCT_PA,RAIDERS_RUN03
FUNCT_AP,RAIDERS_RUN04
FUNCT_AP,RAIDERS_RUN05
FUNCT_AP,RAIDERS_RUN06
SE2D_PA,SE2D
SE2D_AP,SE2D
