colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,LOCAUDI
FUNCT_PA,LOCLEC1
FUNCT_PA,LOCLEC2
FUNCT_PA,LOCVISU
FUNCT_AP,LOCAUDI
FUNCT_AP,LOCLEC1
FUNCT_AP,LOCLEC2
FUNCT_AP,LOCVISU
SE2D_PA,SE2D
SE2D_AP,SE2D
