colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,BREATH
FUNCT_AP,BREATH
FUNCT_PA,CHECREACT
FUNCT_AP,CHECREACT
FUNCT_PA,RTFING
FUNCT_AP,RTFING
FUNCT_PA,ITREC
FUNCT_AP,ITREC
SE2D_PA,SE2D
SE2D_AP,SE2D
