colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,HCPEMOT
FUNCT_PA,HCPGAMB
FUNCT_PA,HCPMOTO
FUNCT_PA,HCPLANG
FUNCT_AP,HCPEMOT
FUNCT_AP,HCPGAMB
FUNCT_AP,HCPMOTO
FUNCT_AP,HCPLANG
SE2D_PA,SE2D
SE2D_AP,SE2D
