colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,FOODPREF
FUNCT_PA,PAINTPREF
FUNCT_PA,FACEPREF
FUNCT_PA,HOUSEPREF
FUNCT_AP,FOODPREF
FUNCT_AP,PAINTPREF
FUNCT_AP,FACEPREF
FUNCT_AP,HOUSEPREF
SE2D_PA,SE2D
SE2D_AP,SE2D
