colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,RESTATE
FUNCT_AP,RESTATE
FUNCT_PA,MTTSN
FUNCT_PA,MTTSN
FUNCT_AP,MTTSN
SE2D_PA,SE2D
SE2D_AP,SE2D
