colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,OPTB1
FUNCT_AP,OPTB2
FUNCT_PA,OPTB3
FUNCT_AP,OPTB4
FUNCT_PA,OPTB5
FUNCT_AP,AOMICMOV
SE2D_PA,SE2D
SE2D_AP,SE2D
