colormap,widthmap
SE2D_PA,SE2D
SE2D_AP,SE2D
FUNCT_PA,EMOMEM
FUNCT_AP,EMOMEM
FUNCT_PA,EMORECOG
FUNCT_AP,EMORECOG
FUNCT_PA,SNG
FUNCT_AP,SNG
SE2D_PA,SE2D
SE2D_AP,SE2D
