Run,sub-04,sub-05,sub-06,sub-08,sub-09,sub-11,sub-12,sub-14,sub-15
1,100,97,100,100,100,100,100,77,100
2,100,97,100,100,100,90,100,61,94
3,100,89,100,100,100,72,100,65,100
4,100,88,97,97,100,97,100,84,100
Mean,100,93,99,99,100,90,100,72,99
