Run,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,93,88,77,87,83,93,89,42,60,58,79
2,88,90,80,91,73,93,91,42,80,72,75
Mean,91,89,79,89,78,93,90,42,70,65,77
