Run,sub-04,sub-05,sub-06,sub-08,sub-09,sub-11,sub-12,sub-14,sub-15
1,63,73,69,71,79,83,60,58,73
2,69,73,66,77,74,72,58,52,69
3,72,70,81,77,73,71,69,61,71
4,59,80,72,85,81,62,62,62,77
Mean,66,74,72,78,77,72,62,58,73
