Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
0,100,91,47,91,91,94,87,86,81,87,90
1,90,84,50,84,91,90,88,90,72,73,84
2,94,87,81,90,90,86,81,84,76,80,83
3,2,90,88,79,93,98,82,82,76,81,94
Mean,72,89,67,86,92,92,85,86,77,81,88
