Run,sub-04,sub-05,sub-06,sub-08,sub-09,sub-11,sub-12,sub-14,sub-15
1,83,64,89,89,78,83,67,67,61
2,83,86,61,83,83,92,44,61,53
3,83,61,75,81,75,81,50,83,56
4,92,75,69,86,83,97,44,64,67
Mean,85,72,74,85,80,88,51,69,59
