Run,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,98,95,98,87,97,95,100,97,90,88,100
2,98,92,98,85,92,95,93,98,90,85,100
Mean,98,93,98,86,95,95,97,98,90,87,100
