Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,90,90,70,70,80,n/a,90,70,90,80,90
2,80,80,80,90,60,50,70,80,70,70,70
Mean,85,85,75,80,70,50,80,75,80,75,80
