Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,81,83,76,71,57,82,42,76,57,70,n/a
2,81,92,78,83,60,90,51,76,58,78,95
3,91,100,68,80,63,86,55,77,63,76,98
Mean,85,92,75,78,60,86,50,77,60,75,97
