Run,sub-01,sub-04,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1a,92,95,88,78,83,88,84,84,59,75,81
2a,94,89,89,91,92,89,83,81,83,64,81
3a,92,91,91,86,92,92,89,88,63,53,91
4a,88,94,92,89,91,86,88,88,77,50,92
1b,92,97,88,89,89,91,88,92,73,63,89
2b,94,88,84,91,91,91,86,80,86,70,91
3b,91,95,92,89,92,94,75,83,84,81,88
Mean,92,93,89,88,90,90,85,85,75,65,88
