Run,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,99,67,77,80,95,98,95,79,98,93,93
2,93,95,90,76,99,96,95,96,98,70,80
Mean,96,81,84,78,97,97,95,88,98,82,87
