Run,sub-01,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,71,79,74,72,76,80,74,76,78,61,55,76
2,73,79,70,67,78,78,79,81,78,70,56,72
Mean,72,79,72,70,77,79,77,79,78,65,56,74
