Run,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-14,sub-15
1,35,33,38,35,35,50,35,48,38,68,38
2,53,38,35,35,33,48,38,60,33,38,35
Mean,44,36,37,35,34,49,37,54,36,53,37
