Run,sub-04,sub-06,sub-07,sub-08,sub-09,sub-11,sub-12,sub-13,sub-15
1,42,50,42,64,50,58,58,50,82
2,92,50,33,33,41,67,42,58,100
3,92,75,50,58,50,50,33,42,100
4,100,83,42,75,58,55,50,50,92
5,100,100,75,75,58,58,42,33,100
6,100,83,67,67,58,42,50,58,92
7,100,100,58,75,58,58,58,50,92
8,100,100,83,82,73,58,58,75,92
Mean,91,80,56,66,56,56,49,52,94
