Run,sub-04,sub-05,sub-06,sub-08,sub-09,sub-11,sub-12,sub-14,sub-15
1,100,99,100,100,100,100,100,93,100
2,100,99,100,100,99,100,100,92,100
Mean,100,99,100,100,100,100,100,93,100
